OrderID,OrderDate,Customer,Country,Region,Sales,Profit,Category,Quantity,Discount,Profit_Margin
ORD-1122,2018-09-01,Li Wei,INDIA,West,3446.9,1191.38,Furniture,3,0.02,0.3456381096057327
ORD-9461,2021-09-22,Ava Thomas,USA,north,3172.87,-174.08,tech,9,0.13,-0.05486515363062464
ORD-5623,2019-01-11,Chen Zhao,INDIA,West,3857.59,1238.55,Furniture,6,0.15,0.32106833541148744
ORD-4997,2019-07-01,Li Wei,AUSTRALIA,SOUTH,293.04,668.9,Furniture,6,0.11,2.2826235326235325
ORD-7098,2019-08-13,Fatima Khan,GERMANY,West,2413.59,1338.63,Furniture,4,0.32,0.5546219531900612
ORD-6593,2025-05-11,Maria Garcia,INDIA,SOUTH,3928.61,326.67,Office Supplies,3,0.29,0.08315154723935438
ORD-6183,2025-02-25,Olivia Martin,USA,East,4986.51,1131.39,tech,10,0.34,0.2268901496236847
ORD-1679,2024-04-12,Fatima Khan,GERMANY,North,2601.64,1492.45,tech,13,0.28,0.5736573853415539
ORD-4307,2025-07-12,Liam Wilson,CANADA,North,2577.79,510.42,Technology,15,0.14,0.19800681979525098
ORD-1379,2020-03-06,Liam Wilson,CANADA,SOUTH,1432.31,-458.85,Furniture,11,0.06,-0.32035662670790543
ORD-4580,2022-09-21,Alice Brown,INDIA,SOUTH,1557.52,-279.95,Office Supplies,7,0.33,-0.1797408701011865
ORD-3325,2025-11-15,Li Wei,INDIA,SOUTH,2684.54,1419.42,tech,1,0.17,0.5287386293368697
ORD-7596,2021-11-14,Chen Zhao,INDIA,East,1493.22,804.24,Technology,3,0.1,0.5385944468999879
ORD-1480,2019-09-10,Ravi Kumar,INDIA,West,4532.28,500.22,tech,15,0.18,0.11036829808984436
ORD-7707,2022-08-14,Fatima Khan,CANADA,SOUTH,4897.84,846.1,tech,3,0.23,0.17274962024075918
ORD-8376,2020-01-01,Alice Brown,INDIA,Central,4544.84,656.34,Furniture,14,0.02,0.14441432481671523
ORD-5495,2021-05-19,Ava Thomas,AUSTRALIA,East,1291.07,-305.05,Furniture,6,0.27,-0.2362768866134292
ORD-9775,2019-05-05,David Johnson,INDIA,Central,2156.92,225.81,Technology,1,0.14,0.1046909482039204
ORD-7805,2018-12-18,Ava Thomas,CANADA,SOUTH,2508.14,-123.43,Technology,12,0.33,-0.04921181276145644
ORD-4610,2024-03-17,Ravi Kumar,AUSTRALIA,north,2947.28,629.65,Furniture,2,0.4,0.21363765912977387
ORD-3362,2025-06-02,Ava Thomas,GERMANY,South,2508.14,-270.77,tech,12,0.36,-0.10795659516664959
ORD-5173,2023-10-15,David Johnson,UK,SOUTH,513.49,1434.36,tech,3,0.35,2.7933552746888934
ORD-8874,2020-09-13,Noah Taylor,GERMANY,South,3045.16,1328.45,tech,9,0.17,0.4362496551905319
ORD-2473,2025-12-06,Li Wei,INDIA,East,4193.52,1209.66,tech,8,0.02,0.2884593372632061
ORD-1243,2021-01-18,Li Wei,GERMANY,SOUTH,946.59,1073.41,Technology,12,0.43,1.1339756388721622
ORD-6024,2022-03-10,Li Wei,USA,Central,2359.71,638.83,tech,11,0.06,0.2707239448915333
ORD-8643,2018-10-20,Fatima Khan,INDIA,North,3028.61,-243.36,Furniture,14,0.23,-0.08035369360861913
ORD-5319,2022-05-21,Maria Garcia,INDIA,East,4059.05,798.72,Furniture,15,0.07,0.19677510747588722
ORD-9886,2021-10-19,John Smith,USA,SOUTH,1134.09,584.12,Furniture,12,0.46,0.5150561242934865
ORD-7024,2024-07-23,Liam Wilson,USA,SOUTH,4840.2,360.62,Furniture,2,0.11,0.0745051857361266
ORD-3810,2019-02-24,Ravi Kumar,INDIA,West,7.85,114.94,Furniture,7,0.15,14.64203821656051
ORD-1603,2022-05-06,Li Wei,UK,SOUTH,4499.56,371.5,Furniture,4,0.33,0.08256362844367005
ORD-4277,2023-09-24,Fatima Khan,CANADA,South,2493.83,422.24,Office Supplies,11,0.2,0.16931386662282513
ORD-3944,2019-08-08,Fatima Khan,CANADA,West,656.32,635.25,tech,12,0.28,0.9678967576791808
ORD-6123,2022-07-04,John Smith,INDIA,SOUTH,3259.64,500.22,Office Supplies,11,0.05,0.15345867337087524
ORD-9298,2022-09-10,Olivia Martin,INDIA,West,4763.93,287.95,Furniture,1,0.39,0.060443793254728755
ORD-6462,2023-05-29,Chen Zhao,INDIA,north,1587.08,-444.24,Technology,8,0.17,-0.27991027547445624
ORD-2453,2025-08-29,John Smith,AUSTRALIA,West,3310.36,1181.07,Technology,7,0.47,0.3567799272586667
ORD-3534,2025-03-25,Li Wei,GERMANY,north,2184.78,351.6,Furniture,6,0.41,0.16093153544063932
ORD-9813,2020-12-02,Ava Thomas,INDIA,SOUTH,449.34,-304.3,Technology,5,0.16,-0.6772154715805404
ORD-9105,2022-04-15,Alice Brown,GERMANY,SOUTH,2411.77,159.84,tech,6,0.21,0.06627497646956385
ORD-8753,2018-11-29,Ava Thomas,AUSTRALIA,SOUTH,2564.52,368.07,Technology,10,0.09,0.1435239343034954
ORD-2896,2022-08-13,Liam Wilson,AUSTRALIA,SOUTH,271.82,-211.67,tech,4,0.21,-0.7787138547568243
ORD-2740,2025-01-25,Olivia Martin,UK,East,2439.86,1377.7,Office Supplies,11,0.44,0.5646635462690482
ORD-4106,2024-12-08,Maria Garcia,GERMANY,Central,4356.32,-461.25,Furniture,2,0.16,-0.10588065155911412
ORD-7558,2020-08-19,Liam Wilson,AUSTRALIA,SOUTH,1108.89,948.6,Technology,14,0.34,0.8554500446392338
ORD-2290,2019-04-18,Ava Thomas,INDIA,SOUTH,3432.36,701.8,Furniture,3,0.24,0.20446573203277044
ORD-9856,2020-11-05,Maria Garcia,INDIA,North,1195.89,1199.13,Furniture,2,0.18,1.0027092792815393
ORD-4942,2025-01-10,Ava Thomas,AUSTRALIA,SOUTH,4575.27,1100.83,Technology,6,0.34,0.24060437963224024
ORD-9362,2022-12-21,Li Wei,INDIA,SOUTH,2736.49,-59.69,Furniture,3,0.05,-0.021812613968989474
ORD-1525,2018-06-17,David Johnson,INDIA,SOUTH,2004.26,-247.85,tech,14,0.2,-0.12366160079031663
ORD-4165,2018-01-14,Ravi Kumar,GERMANY,north,2816.05,187.35,tech,2,0.04,0.0665293584986062
ORD-2887,2024-01-31,Noah Taylor,INDIA,North,1162.98,385.04,tech,9,0.46,0.3310805000945846
ORD-2182,2024-12-05,Ravi Kumar,USA,North,4892.22,380.4,tech,4,0.47,0.07775611072273936
ORD-2266,2024-08-01,Li Wei,GERMANY,SOUTH,4552.96,500.22,Furniture,5,0.06,0.10986699423378192
ORD-4898,2024-09-01,John Smith,GERMANY,north,434.88,-170.52,Technology,1,0.43,-0.39210816777041946
ORD-5716,2020-03-05,Li Wei,GERMANY,north,2729.72,1458.08,Furniture,12,0.13,0.5341500227129523
ORD-3063,2019-09-25,Liam Wilson,CANADA,Central,1428.52,1395.87,tech,2,0.47,0.9771441771903788
ORD-1067,2023-08-03,Olivia Martin,CANADA,north,443.38,1466.68,tech,2,0.06,3.307952546348505
ORD-1173,2018-02-02,Li Wei,INDIA,Central,3866.97,388.07,Office Supplies,10,0.21,0.10035505835318091
ORD-6350,2022-05-05,Ava Thomas,GERMANY,West,3450.42,416.54,Furniture,9,0.24,0.1207215353493198
ORD-6377,2018-05-17,Maria Garcia,CANADA,Central,1481.91,63.06,tech,15,0.46,0.0425531914893617
ORD-2337,2021-03-11,Ravi Kumar,INDIA,north,718.6,-160.94,tech,3,0.41,-0.22396326189813526
ORD-4883,2025-08-03,Alice Brown,INDIA,SOUTH,4179.52,248.14,Technology,2,0.49,0.05937045402342852
ORD-2112,2025-11-03,David Johnson,UK,SOUTH,3837.1,-294.17,tech,9,0.41,-0.07666466862995491
ORD-4675,2024-08-20,Noah Taylor,INDIA,north,2462.68,-416.02,tech,15,0.21,-0.16892978381275683
ORD-4872,2023-09-28,Maria Garcia,USA,Central,1434.39,1468.21,Technology,11,0.18,1.0235779669406506
ORD-9045,2024-06-04,Ava Thomas,UK,SOUTH,3719.72,226.73,Furniture,12,0.28,0.0609535126299829
ORD-1011,2020-12-06,Fatima Khan,GERMANY,West,2691.06,-253.8,tech,14,0.42,-0.09431227843303383
ORD-6282,2021-04-18,Maria Garcia,INDIA,North,3522.25,-188.47,Furniture,2,0.43,-0.05350841081694939
ORD-8759,2020-11-15,Maria Garcia,GERMANY,North,1773.0,826.57,Technology,8,0.13,0.4661985335589397
