Order ID,Order Date,Customer,Country,Region,Sales,Profit,Category,Quantity,Discount
ORD-1122,01/09/2018,Li Wei,,West,3446.9,1191.38,Furniture ,3,0.02
ORD-9461,22/09/2021,Ava Thomas,USA,north ,3172.87,-174.08,,9,0.13
ORD-5623,11/01/2019,Chen Zhao,,West,3857.59,1238.55,Furniture,6,0.15
ORD-4997,01/07/2019,Li Wei,Australia, SOUTH,293.04,668.9,Furniture,6,0.11
ORD-7098,13/08/2019,Fatima Khan,Germany,West,2413.59,1338.63,Furniture,4,0.32
ORD-6593,11/05/2025,Maria Garcia,, SOUTH,3928.61,326.67,Office Supplies,3,0.29
ORD-6183,25/02/2025,Olivia Martin,USA,East,4986.51,1131.39,,10,0.34
ORD-1679,12/04/2024,Fatima Khan,Germany,North,2601.64,1492.45,tech,13,0.28
ORD-4307,12/07/2025,Liam Wilson,Canada,North,2577.79,510.42,Technology,15,0.14
ORD-1379,06/03/2020,Liam Wilson,Canada, SOUTH,1432.31,-458.85,Furniture ,11,0.06
ORD-4580,21/09/2022,Alice Brown,India,,1557.52,-279.95,Office Supplies,7,0.33
ORD-3325,15/11/2025,Li Wei,India, SOUTH,2684.54,1419.42,,1,0.17
ORD-7596,14/11/2021,Chen Zhao,india ,East,1493.22,804.24,Technology,3,0.1
ORD-1480,10/09/2019,Ravi Kumar,India,West,4532.28,,tech,15,0.18
ORD-7707,14/08/2022,Fatima Khan,Canada, SOUTH,4897.84,846.1,,3,0.23
ORD-8376,01/01/2020,Alice Brown,,Central,4544.84,656.34,Furniture,14,0.02
ORD-5495,19/05/2021,Ava Thomas,Australia,East,1291.07,-305.05,Furniture,6,0.27
ORD-9775,05/05/2019,David Johnson,India,Central,2156.92,225.81,Technology,1,0.14
ORD-7805,18/12/2018,Ava Thomas,Canada, SOUTH,,-123.43,Technology,12,0.33
ORD-4610,17/03/2024,Ravi Kumar,Australia,north ,2947.28,629.65,Furniture ,2,0.4
ORD-3362,02/06/2025,Ava Thomas,Germany,South,,-270.77,tech,12,0.36
ORD-5173,15/10/2023,David Johnson,UK, SOUTH,513.49,1434.36,tech,3,0.35
ORD-8874,13/09/2020,Noah Taylor,Germany,South,3045.16,1328.45,,9,0.17
